Deployment Rank,Algorithm,Training Time (s),Train MAE,Train MSE,Train RMSE,Train R2,MAE,MSE,RMSE,R2,Train-Test R2 Gap,CV R2 Mean,CV R2 Std,CV MAE Mean,CV RMSE Mean,Deployment Score,Generalisation,Stability,Complexity
1,CatBoost,0.15204091698979028,0.12983977081167555,0.03129308506367682,0.17689851628455458,0.999689933888293,0.25706123678850257,0.12497834322231173,0.35352276195785715,0.9988009547635476,0.0008889791247453926,0.9985884731481185,0.00030811199455376613,0.25818360174935273,0.37329964743461164,99.09091247367279,Strong,Very stable,High
2,XGBoost,0.31888574999175034,0.12745029912321112,0.03320385378880454,0.1822192464829238,0.9996710011231864,0.2737935639666272,0.14346321225597483,0.378765378903583,0.9986236104846126,0.0010473906385738418,0.9985436119786119,0.00022735077985072612,0.2579129579044034,0.38061958798954015,98.5888772565627,Strong,Very stable,High
3,LightGBM,0.7087559160136152,0.25392295329704645,0.15102696989959263,0.3886218855128885,0.9985035561299129,0.3243754589408799,0.19441205928927038,0.44092182900064086,0.9981348060184712,0.0003687501114417735,0.9969297684048574,0.0006959430308525539,0.3746601234281276,0.5523381978293928,98.04725262029183,Strong,Very stable,High
4,Gradient Boosting,0.10718754201661795,0.25783020446114274,0.1336013240326387,0.36551514884152025,0.9986762173503376,0.364531881384632,0.25129669170560603,0.5012950146426812,0.9975890534843315,0.0010871638660061578,0.9978490760920049,0.0003699716183612855,0.32377954286083666,0.4621030852735082,96.6194301359155,Strong,Very stable,High
5,Random Forest,0.16206145798787475,0.11467616720955608,0.030428112274701668,0.1744365565892129,0.9996985044318768,0.35331233766233444,0.2403868577705614,0.49029262463406625,0.9976937226939964,0.0020047817378804345,0.9972706195358876,0.0003278707861228198,0.345819517526324,0.5213990036688081,95.29424466752137,Strong,Very stable,High
6,Extra Trees,0.09524349999264814,4.907709019814806e-05,2.305971769831994e-07,0.0004802053487657123,0.9999999977151384,0.3504989177489146,0.2548759058080801,0.5048523604065649,0.9975547144179847,0.0024452832971536553,0.9976317615940665,0.0001388942367220303,0.3220716317917301,0.4869242663894873,94.72165307287885,Strong,Very stable,High
7,Decision Tree,0.006567582982825115,0.054884907709012005,0.022375454668838227,0.14958427279910888,0.9997782938239319,0.416856601731602,0.3798850732774174,0.6163481753663407,0.9963553734529637,0.003422920370968252,0.9964133337696351,0.0007538121984788071,0.3864251326453547,0.5952187404686997,90.97836563117463,Strong,Very stable,Medium
8,SVR,0.08198308298597112,0.47116558474500453,0.6689688499904805,0.8179051595328645,0.9933715525411586,0.6507661438505657,0.7851321941315752,0.8860768556573269,0.992467422810332,0.0009041297308266527,0.9810993835726123,0.00669606285950249,0.8810211656329294,1.3490927284552223,82.25160387849188,Strong,Stable,Medium
9,AdaBoost,0.2923872920218855,1.6224076500034126,4.283448142455659,2.069649280060672,0.9575576486777478,1.7413338508362857,4.9244758338221635,2.2191160027862815,0.9527544601862242,0.004803188491523613,0.9580933472161067,0.007041925991584736,1.6146197258146333,2.0382120322886856,39.060676542286096,Strong,Stable,Medium
10,Linear Regression,0.04207404199405573,2.0632498472580965,7.6381580738906445,2.7637217793928976,0.9243176577267693,2.1536603393966125,8.437010324117756,2.9046532192531616,0.9190551196455038,0.005262538081265533,0.9220319157551708,0.008070767292441307,2.0798583638358634,2.7887488613114635,7.387196548115776,Strong,Stable,Low
11,Lasso Regression,0.068619249999756,2.0216200467855785,7.719143180306498,2.7783346055337717,0.9235152204790054,2.1166985976255,8.505561792096584,2.916429630918014,0.9183974352098443,0.005117785269161068,0.9211768885128526,0.0091151270106753,2.0378425023798563,2.8028292632943144,6.46116396368318,Strong,Stable,Low
12,Ridge Regression,0.02237470800173469,2.031516200032406,8.305332633405284,2.8818974016097942,0.917706988913593,2.181400408857973,9.133552811373573,3.0221768332401684,0.9123724742383298,0.005334514675263247,0.9150866662755697,0.010426597808566446,2.053178775662487,2.9080772297238253,0.0,Strong,Stable,Low
